marka;model;model_yillari;risk_seviyesi;ariza_basligi;belirtiler;kontrol_ipucu;ariza_gorselleri;min_masraf;maks_masraf;goruldugu_km_metin;km_filtre;kategori;motor_tipi
Renault;Clio;2013-2020;ORTA;0.9 TCe Triger Zincir Gevşemesi;Soğuk ilk çalıştırmada motordan gelen metalik tır tır sesi, devir dalgalanması.;Motor soğukken triger kapağı civarındaki ses dinlenmeli, sente ayar değerleri kontrol edilmelidir.;https://images.arizakaydi.com/renault_clio_motor_01.jpg;15000;25000;60.000 km+;60000;Motor;Benzin
Volkswagen;Golf;2013-2020;YÜKSEK;DSG DQ200 Hidrolik Basınç Kaybı;Vites geçişlerinde sertlik, kararsızlık, PRNDS gösterge yanıp sönmesi.;Bilgisayarlı teşhiste P17BF arıza kodu aranmalı, şanzıman alt muhafazası yağ kaçağı için incelenmelidir.;https://images.arizakaydi.com/volkswagen_golf_sanziman_01.jpg;12000;42000;80.000 km+;80000;Şanzıman;Benzin
Peugeot;3008;2018-2024;ORTA;1.5 BlueHDi AdBlue Pompa ve Tank Hasarı;Hava kirliliği önleme arızası uyarısı, motor arıza lambası ve km geri sayımı.;AdBlue depo kapağı çevresinde kristallenme kontrol edilmeli, OBD üzerinden üre basıncı ölçülmelidir.;https://images.arizakaydi.com/peugeot_3008_motor_01.jpg;56720;90000;40.000 km+;40000;Motor;Dizel
Fiat;Egea;2016-2024;YÜKSEK;1.4 Fire Motor Aşırı Yağ Eksiltmesi;Motor sesinin gürültülü çıkması, yağ seviye lambasının virajlarda yanıp sönmesi.;Yağ çubuğu çekilerek 1000 km'deki eksiltme oranı ölçülmeli, mavi duman atışı izlenmelidir.;https://images.arizakaydi.com/fiat_egea_motor_01.jpg;110000;165000;50.000 km+;50000;Motor;Benzin
Toyota;Corolla;2015-2023;ORTA;LPG Kaynaklı Subap Erimesi;Rölantide aşırı titreme, soğuk motorun geç çalışması, yokuşta çekiş düşüşü.;Motor kompresyon testi yapılmalı, silindir kapak toleransları ve subap boşlukları ölçülmelidir.;https://images.arizakaydi.com/toyota_corolla_motor_01.jpg;8000;15000;100.000 km+;100000;Motor;LPG
Renault;Megane;2016-2024;YÜKSEK;EDC Çift Kavrama Aktüatör Deformasyonu;Vites geçişlerinde titreme, yokuş kalkışında kaçırma, vites kutusunu kontrol ettirin uyarısı.;OBD cihazı ile debriyaj aşınma payları ve elektro-mekanik motor akımları okunmalıdır.;https://images.arizakaydi.com/renault_megane_sanziman_01.jpg;30000;76000;80.000 km+;80000;Şanzıman;Dizel
Tesla;Model Y;2023-2025;YÜKSEK;Elektronik Direksiyon Destek Kaybı;Sürüş esnasında direksiyonun aniden ağırlaşması, hata kodları.;Direksiyon kutusu soket bağlantıları ve OTA yazılım güncelleme sürümü kontrol edilmelidir.;https://images.arizakaydi.com/tesla_modely_elektrik_01.jpg;10000;45000;20.000 km+;20000;Elektrik;Elektrik
Dacia;Duster;2018-2024;ORTA;1.0 TCe LPG Fabrikasyon Regülatör Sızıntısı;Gaz kokusu, sabahları geç çalışma, rölantide stop etme.;LPG regülatör vakum hortumu köpükle test edilmeli, basınç dalgalanmaları kontrol edilmelidir.;https://images.arizakaydi.com/dacia_duster_motor_01.jpg;6000;12000;40.000 km+;40000;Motor;LPG
Hyundai;Tucson;2021-2025;ORTA;ADAS Sürüş Destek Sensör Sapması;Şerit takip ve acil frenleme sisteminin gereksiz devreye girmesi.;Ön camdaki kamera açısı ve radyonun kalibrasyon değerleri servis bilgisayarında incelenmelidir.;https://images.arizakaydi.com/hyundai_tucson_elektrik_01.jpg;6500;18000;30.000 km+;30000;Elektrik;Dizel
Chery;Tiggo 7 Pro;2023-2025;ORTA;Multimedya ve CarPlay Bağlantı Hatası;Multimedya ekranının aniden donması, CarPlay bağlantısının kopması, siyah ekran.;Yazılım güncelleme sürümü kontrol edilmeli, akü voltajı ölçülmelidir.;https://images.arizakaydi.com/chery_tiggo7_multimedya_01.jpg;3500;12000;15.000 km+;15000;Multimedya;Benzin
Togg;T10X;2023-2025;ORTA;Yazılım Kaynaklı Hücre Dengeleme Sorunu;Şarjın aniden düşmesi, menzil hesaplama hataları, batarya uyarısı.;BMS yazılım sürümü kontrol edilmeli, yetkili serviste batarya hücresel voltaj testleri yapılmalıdır.;https://images.arizakaydi.com/togg_t10x_elektrik_01.jpg;15000;30000;10000 km+;10000;Elektrik;Elektrik
Nissan;Qashqai;2014-2020;YÜKSEK;CVT Şanzıman Çelik Kasnak ve Kayış Aşınması;Hızlanırken devrin yükselmesi ancak aracın ivmelenmemesi, uğultu sesi.;Şanzıman yağı rengi kontrol edilmeli, talaş/metal çapağı varlığı incelenmelidir.;https://images.arizakaydi.com/nissan_qashqai_sanziman_01.jpg;55000;95000;100.000 km+;100000;Şanzıman;Benzin
Opel;Astra;2016-2021;FECİ;1.4 Turbo Piston Kırma Riski;Tekleme, motor arıza ışığı, aşırı sarsıntılı çalışma, kompresyon kaybı.;LSPI riskine karşı motor kompresyon testi yapılmalı, buji tırnak aralıkları kontrol edilmelidir.;https://images.arizakaydi.com/opel_astra_motor_01.jpg;45000;130000;50.000 km+;50000;Motor;Benzin
